2020, 3, 0.41
а, 6, 0.82
августе, 1, 0.137
автозаки, 1, 0.137
автомеханик, 1, 0.137
адвокат, 1, 0.137
акций, 1, 0.137
александра, 2, 0.273
апреле, 1, 0.137
арт, 1, 0.137
безопасности, 1, 0.137
беларус, 1, 0.137
беларуси, 2, 0.273
беларусов, 1, 0.137
беларусских, 1, 0.137
беларусы, 3, 0.41
беларусь, 1, 0.137
белая, 1, 0.137
бесконечных, 1, 0.137
бесплатно, 1, 0.137
бизнесмен, 1, 0.137
богатым, 1, 0.137
боли, 1, 0.137
больнице, 1, 0.137
больше, 2, 0.273
бондаренко, 1, 0.137
боролись, 1, 0.137
бороться, 1, 0.137
будем, 2, 0.273
бывший, 1, 0.137
был, 1, 0.137
было, 2, 0.273
в, 19, 2.596
вдохновения, 1, 0.137
вдруг, 1, 0.137
ведь, 3, 0.41
вернули, 1, 0.137
вернулись, 1, 0.137
вернуться, 1, 0.137
верующий, 1, 0.137
веры, 1, 0.137
весь, 1, 0.137
взрывами, 1, 0.137
видео, 1, 0.137
вихора, 1, 0.137
вместе, 3, 0.41
внук, 1, 0.137
во, 3, 0.41
возвращаться, 1, 0.137
возвращение, 1, 0.137
волнуется, 1, 0.137
волонт, 1, 0.137
вопреки, 1, 0.137
врач, 1, 0.137
время, 2, 0.273
вс, 1, 0.137
все, 4, 0.546
всего, 3, 0.41
всей, 1, 0.137
всех, 2, 0.273
встречаться, 1, 0.137
встречи, 1, 0.137
всю, 1, 0.137
вчера, 1, 0.137
вы, 1, 0.137
выбор, 1, 0.137
выборов, 1, 0.137
выполнять, 1, 0.137
выходит, 1, 0.137
выхожу, 1, 0.137
вышел, 1, 0.137
вышли, 2, 0.273
где, 5, 0.683
генадия, 1, 0.137
героев, 1, 0.137
героя, 1, 0.137
главное, 2, 0.273
год, 1, 0.137
годом, 3, 0.41
году, 3, 0.41
голос, 1, 0.137
готовы, 1, 0.137
дал, 1, 0.137
дальше, 1, 0.137
двадцать, 1, 0.137
две, 2, 0.273
двери, 1, 0.137
двор, 1, 0.137
дворах, 1, 0.137
декабре, 1, 0.137
делающих, 1, 0.137
дельце, 1, 0.137
для, 5, 0.683
дня, 1, 0.137
до, 1, 0.137
доказали, 1, 0.137
доказывать, 1, 0.137
дом, 5, 0.683
доме, 1, 0.137
домов, 2, 0.273
домой, 3, 0.41
дорогие, 2, 0.273
достоинство, 1, 0.137
друг, 1, 0.137
друга, 1, 0.137
другим, 1, 0.137
друзей, 1, 0.137
дубинками, 1, 0.137
дух, 1, 0.137
е, 1, 0.137
его, 1, 0.137
единого, 1, 0.137
ей, 1, 0.137
еще, 2, 0.273
же, 1, 0.137
желаю, 3, 0.41
жертвует, 1, 0.137
живет, 1, 0.137
жизни, 3, 0.41
жизнь, 1, 0.137
житель, 1, 0.137
жить, 2, 0.273
журналист, 1, 0.137
жыве, 1, 0.137
за, 10, 1.366
заботы, 1, 0.137
забудем, 1, 0.137
заводах, 1, 0.137
задержанный, 1, 0.137
законный, 1, 0.137
закону, 1, 0.137
заслужили, 1, 0.137
заступился, 1, 0.137
захватывало, 1, 0.137
защищает, 1, 0.137
заявить, 1, 0.137
здоровья, 1, 0.137
знаем, 1, 0.137
и, 31, 4.235
ид, 23, 3.142
из, 5, 0.683
извечный, 1, 0.137
изменение, 1, 0.137
изменилось, 1, 0.137
искренними, 1, 0.137
истории, 1, 0.137
их, 2, 0.273
июле, 1, 0.137
июне, 1, 0.137
й, 3, 0.41
к, 4, 0.546
кадры, 1, 0.137
каждого, 1, 0.137
каждый, 4, 0.546
как, 2, 0.273
кандидатов, 1, 0.137
католического, 1, 0.137
когда, 4, 0.546
кого, 1, 0.137
кому, 2, 0.273
константина, 1, 0.137
которая, 4, 0.546
которое, 1, 0.137
которой, 1, 0.137
которые, 1, 0.137
который, 13, 1.776
кофейни, 1, 0.137
кривцова, 1, 0.137
кто, 4, 0.546
куда, 1, 0.137
лежит, 1, 0.137
ленточка, 1, 0.137
лидеров, 1, 0.137
листовки, 1, 0.137
лицензию, 1, 0.137
лишили, 1, 0.137
любовь, 2, 0.273
любят, 1, 0.137
м, 2, 0.273
мае, 1, 0.137
марте, 1, 0.137
марше, 1, 0.137
машины, 2, 0.273
медикам, 1, 0.137
место, 6, 0.82
месяцы, 1, 0.137
мечтает, 1, 0.137
микрорайона, 1, 0.137
милиционер, 1, 0.137
мир, 1, 0.137
мира, 2, 0.273
митингах, 1, 0.137
митрополита, 1, 0.137
много, 3, 0.41
мои, 1, 0.137
молился, 1, 0.137
молчать, 1, 0.137
мы, 26, 3.552
мыслях, 1, 0.137
на, 8, 1.093
наград, 1, 0.137
надежд, 1, 0.137
нам, 5, 0.683
нами, 1, 0.137
народ, 1, 0.137
народец, 1, 0.137
нас, 6, 0.82
начали, 1, 0.137
